service_id,date,exception_type
CI2724F_CI2E1_,20260719,1
CI2724F_CI2E2_,20260719,1
CI2724F_CI2E3_,20260719,1
CI2724F_CI2E4_,20260719,1
CI2724F_CI2E5_,20260719,1
CI3725F_CI301_,20260719,1
CI3725F_CI302_,20260719,1
CI3725F_CI303_,20260719,1
CI3725F_CI304_,20260719,1
CI4725F_CI401_,20260719,1
CI4725F_CI402_,20260719,1
CI4725F_CI403_,20260719,1
CI4725F_CI404_,20260719,1
CI4725F_CI4E1_,20260719,1
MIC023F_MIC01_,20260719,1
MIC023F_MIC02_,20260719,1
N01018F_N01E1_,20260719,1
N02018F_N02E1_,20260719,1
N02018F_N02E2_,20260719,1
N03018F_N03E1_,20260719,1
N03018F_N03E2_,20260719,1
N04018F_N04E1_,20260719,1
N04018F_N04E2_,20260719,1
N05018F_N05E1_,20260719,1
N06018F_N06E1_,20260719,1
N07018F_N07E1_,20260719,1
TUR003F_TURE1_,20260719,1
TUR003F_TURE2_,20260719,1
TUR003F_TURE3_,20260719,1
TUR003F_TURE4_,20260719,1
021724L_02101_,20260720,1
021724L_02102_,20260720,1
021724L_02103_,20260720,1
021724L_02104_,20260720,1
021724L_02105_,20260720,1
021724L_02106_,20260720,1
021724L_02107_,20260720,1
021724L_02108_,20260720,1
021724L_02109_,20260720,1
021724L_02110_,20260720,1
021724L_02111_,20260720,1
021724L_02112_,20260720,1
021724L_02113_,20260720,1
021724L_021E1_,20260720,1
022781L_02201_,20260720,1
022781L_02202_,20260720,1
022781L_02203_,20260720,1
022781L_02204_,20260720,1
022781L_02205_,20260720,1
022781L_02206_,20260720,1
022781L_02207_,20260720,1
022781L_02208_,20260720,1
022781L_02209_,20260720,1
023724L_02301_,20260720,1
023724L_02302_,20260720,1
023724L_02303_,20260720,1
023724L_02304_,20260720,1
023724L_02305_,20260720,1
023724L_02306_,20260720,1
023724L_02307_,20260720,1
023724L_02308_,20260720,1
023724L_02309_,20260720,1
023724L_02310_,20260720,1
023724L_02311_,20260720,1
025718L_02501_,20260720,1
025718L_02502_,20260720,1
025718L_02503_,20260720,1
025718L_02504_,20260720,1
028002L_02801_,20260720,1
028002L_02802_,20260720,1
028002L_02803_,20260720,1
029725L_02901_,20260720,1
029725L_02902_,20260720,1
029725L_02903_,20260720,1
029725L_02904_,20260720,1
029725L_02905_,20260720,1
030725L_03001_,20260720,1
030725L_03002_,20260720,1
030725L_03003_,20260720,1
030725L_03004_,20260720,1
030725L_03005_,20260720,1
031724L_03101_,20260720,1
031724L_03102_,20260720,1
031724L_03103_,20260720,1
031724L_03104_,20260720,1
031724L_03105_,20260720,1
031724L_03106_,20260720,1
032725L_03201_,20260720,1
032725L_03202_,20260720,1
032725L_03203_,20260720,1
032725L_03204_,20260720,1
032725L_03205_,20260720,1
032725L_03206_,20260720,1
032725L_03207_,20260720,1
032725L_03208_,20260720,1
032725L_03209_,20260720,1
032725L_03210_,20260720,1
032725L_03211_,20260720,1
033725L_03301_,20260720,1
033725L_03302_,20260720,1
033725L_03303_,20260720,1
033725L_03304_,20260720,1
033725L_03305_,20260720,1
033725L_03306_,20260720,1
033725L_03307_,20260720,1
033725L_03308_,20260720,1
033725L_03309_,20260720,1
033725L_03310_,20260720,1
033725L_03311_,20260720,1
033725L_03312_,20260720,1
033725L_03313_,20260720,1
034726L_03401_,20260720,1
034726L_03402_,20260720,1
034726L_03403_,20260720,1
034726L_03404_,20260720,1
034726L_03405_,20260720,1
034726L_03406_,20260720,1
034726L_03407_,20260720,1
034726L_03408_,20260720,1
034726L_03409_,20260720,1
034726L_03410_,20260720,1
035781L_03501_,20260720,1
035781L_03502_,20260720,1
035781L_03503_,20260720,1
035781L_03504_,20260720,1
035781L_03505_,20260720,1
035781L_03506_,20260720,1
035781L_03507_,20260720,1
035781L_03508_,20260720,1
035781L_03509_,20260720,1
035781L_03510_,20260720,1
035781L_03511_,20260720,1
035781L_03512_,20260720,1
035781L_03513_,20260720,1
035781L_035E1_,20260720,1
036725L_03601_,20260720,1
036725L_03602_,20260720,1
036725L_03603_,20260720,1
036725L_03604_,20260720,1
036725L_03605_,20260720,1
036725L_03606_,20260720,1
036725L_03607_,20260720,1
036725L_03608_,20260720,1
